P2, T_new, Tv1 - Tve, md_new, mm_new, mliq_new, mm_in, md_in, RH_new, cond, cond_source
890.0,284.831309652,1.41402483545,0.990128179605,0.00968466361565,0.000187156779445,0.0,0.0,1.0,0.000187156779445,0.0
880.0,284.373772179,1.58547720658,0.990128179605,0.00949681254325,0.000375007851843,0.0,0.0,1.0,0.000187889235783,0.0
870.0,283.908988948,1.75853039395,0.990128179605,0.00930834795631,0.000563472438782,0.0,0.0,1.0,0.000188503136067,0.0
860.0,283.436729213,1.93313208326,0.990128179605,0.00911929026073,0.000752530134361,0.0,0.0,1.0,0.000189096641575,0.0
850.0,282.956751649,2.10920815108,0.990128179605,0.00892966183944,0.000942158555654,0.0,0.0,1.0,0.000189667775663,0.0
840.0,282.468803758,2.28667994325,0.990128179605,0.00873948720121,0.00113233319388,0.0,0.0,1.0,0.000190214412102,0.0
830.0,281.972621214,2.46546394792,0.990128179605,0.00854879313554,0.00132302725955,0.0,0.0,1.0,0.000190734272155,0.0
820.0,281.467927183,2.64547145546,0.990128179605,0.00835760888732,0.00151421150778,0.0,0.0,1.0,0.000191224899317,0.0
810.0,280.954431583,2.8266081801,0.990128179605,0.00816596633419,0.0017058540609,0.0,0.0,1.0,0.000191683662974,0.0
800.0,280.431830315,3.00877386416,0.990128179605,0.00797390018541,0.00189792020969,0.0,0.0,1.0,0.000192107731295,0.0
790.0,279.899804426,3.19186184781,0.990128179605,0.00778144818962,0.00209037220548,0.0,0.0,1.0,0.000192494065499,0.0
780.0,279.358019231,3.37575861025,0.990128179605,0.00758865135985,0.00228316903525,0.0,0.0,1.0,0.000192839400953,0.0
770.0,278.806123368,3.56034326985,0.990128179605,0.00739555420877,0.00247626618633,0.0,0.0,1.0,0.000193140240657,0.0
760.0,278.243747801,3.74548706332,0.990128179605,0.00720220500917,0.00266961538593,0.0,0.0,1.0,0.000193392823456,0.0
750.0,277.670504759,3.93105277794,0.990128179605,0.0070086560637,0.0028631643314,0.0,0.0,1.0,0.000193593120377,0.0
740.0,277.0859866,4.11689414513,0.990128179605,0.00681496399353,0.00305685640156,0.0,0.0,1.0,0.000193736815028,0.0
730.0,276.489764626,4.30285520726,0.990128179605,0.00662119005198,0.00325063034311,0.0,0.0,1.0,0.000193819273211,0.0
720.0,275.881387796,4.48890354821,0.990128179605,0.00642740044483,0.00344441995027,0.0,0.0,1.0,0.000193835545978,0.0
710.0,275.26038139,4.67505619949,0.990128179605,0.00623366668043,0.00363815371467,0.0,0.0,1.0,0.000193780331186,0.0
700.0,274.62624559,4.86109555678,0.990128179605,0.0060400659364,0.00383175445869,0.0,0.0,1.0,0.000193647958891,0.0
690.0,273.978453974,5.04678796883,0.990128179605,0.00584668144096,0.00402513895413,0.0,0.0,1.0,0.000193432380369,0.0
680.0,273.316451936,5.23188578303,0.990128179605,0.00565360287679,0.00421821751831,0.0,0.0,1.0,0.000193127142117,0.0
670.0,272.640211178,5.41612661137,0.990128179605,0.0054605334654,0.00441128692969,0.0,0.0,1.0,0.000193118706671,0.0
660.0,271.95072303,5.59972467687,0.990128179605,0.00526676902738,0.00460505136771,0.0,0.0,1.0,0.000193814252747,0.0
650.0,271.247447752,5.78386317946,0.990128179605,0.00507241573658,0.00479940465851,0.0,0.0,1.0,0.000194403584199,0.0
640.0,270.529702827,5.96834075622,0.990128179605,0.00487761338102,0.00499420701407,0.0,0.0,1.0,0.000194853156909,0.0
630.0,269.796759487,6.15283462627,0.990128179605,0.004682515044,0.0051893053511,0.0,0.0,1.0,0.000195149678463,0.0
620.0,269.0478391,6.33699506341,0.990128179605,0.00448728821627,0.00538453217882,0.0,0.0,1.0,0.000195278743009,0.0
610.0,268.282109291,6.52044307769,0.990128179605,0.00429211597288,0.00557970442221,0.0,0.0,1.0,0.00019522477009,0.0
600.0,267.498679828,6.70276793368,0.990128179605,0.00409719821741,0.00577462217769,0.0,0.0,1.0,0.000194970931951,0.0
590.0,266.696598256,6.88352449243,0.990128179605,0.00390275297694,0.00596906741816,0.0,0.0,1.0,0.00019449910622,0.0
580.0,265.874845301,7.06223038846,0.990128179605,0.00370901773524,0.00616280265985,0.0,0.0,1.0,0.000193789840025,0.0
570.0,265.032330093,7.23836307906,0.990128179605,0.0035162507887,0.0063555696064,0.0,0.0,1.0,0.000192822323606,0.0
560.0,264.167885255,7.41135679608,0.990128179605,0.00332473259267,0.00654708780243,0.0,0.0,1.0,0.000191574399769,0.0
550.0,263.280261926,7.58059944154,0.990128179605,0.00313476705463,0.00673705334046,0.0,0.0,1.0,0.000190022621995,0.0
540.0,262.368124864,7.74542954587,0.990128179605,0.00294668273312,0.00692513766197,0.0,0.0,1.0,0.000188142336877,0.0
530.0,261.430047711,7.90513333127,0.990128179605,0.00276083384983,0.00711098654527,0.0,0.0,1.0,0.00018590788849,0.0
520.0,260.464508701,8.05894210601,0.990128179605,0.00257760104951,0.00729421934558,0.0,0.0,1.0,0.000183292853211,0.0
510.0,259.469886994,8.20603011057,0.990128179605,0.00239739176752,0.00747442862757,0.0,0.0,1.0,0.000180270449317,0.0
500.0,258.444460053,8.34551316141,0.990128179605,0.00222064008816,0.00765118030693,0.0,0.0,1.0,0.000176814022623,0.0
490.0,257.386402362,8.47644830343,0.990128179605,0.00204780588689,0.0078240145082,0.0,0.0,1.0,0.000172897787984,0.0
480.0,256.293786068,8.59647947025,0.990128179605,0.00187937307395,0.00799244732115,0.0,0.0,1.0,0.000168497713514,0.0
